om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,loss,closs,slat,slon,elat,elon,len,wid,ns,sn,sg,f1,f2,f3,f4
665493,2022,05,02,2022-05-02,20:25:00,3,OK,40,0,1.75,0,0,0,0,34.5100,-97.0100,34.5100,-97.0100,0,0,0,0,0,99,0,0,0
665494,2022,05,02,2022-05-02,20:28:00,3,OK,40,0,0.75,0,0,0,0,34.7600,-96.6800,34.7600,-96.6800,0,0,0,0,0,123,0,0,0
665495,2022,05,02,2022-05-02,20:29:00,3,MO,29,0,1.50,0,0,0,0,36.9100,-92.8100,36.9100,-92.8100,0,0,0,0,0,67,0,0,0
665496,2022,05,02,2022-05-02,20:41:00,3,MO,29,0,1.00,0,0,0,0,36.9600,-92.6700,36.9600,-92.6700,0,0,0,0,0,67,0,0,0
665497,2022,05,02,2022-05-02,20:42:00,3,OK,40,0,0.75,0,0,0,0,35.0600,-95.7000,35.0600,-95.7000,0,0,0,0,0,121,0,0,0
665498,2022,05,02,2022-05-02,20:45:00,3,OK,40,0,1.00,0,0,0,0,34.4500,-96.6300,34.4500,-96.6300,0,0,0,0,0,69,0,0,0
665499,2022,05,02,2022-05-02,21:19:00,3,OK,40,0,1.00,0,0,0,0,34.3800,-96.4300,34.3800,-96.4300,0,0,0,0,0,69,0,0,0
665500,2022,05,03,2022-05-03,13:04:00,3,OH,39,0,1.00,0,0,0,0,39.7600,-82.7000,39.7600,-82.7000,0,0,0,0,0,45,0,0,0
665501,2022,05,03,2022-05-03,13:06:00,3,OH,39,0,1.75,0,0,0,0,39.7300,-82.6300,39.7300,-82.6300,0,0,0,0,0,45,0,0,0
665502,2022,05,03,2022-05-03,13:08:00,3,OH,39,0,1.50,0,0,0,0,39.7600,-82.6800,39.7600,-82.6800,0,0,0,0,0,45,0,0,0
665503,2022,05,03,2022-05-03,13:12:00,3,OH,39,0,2.50,0,0,200000,0,39.7200,-82.6000,39.7200,-82.6000,0,0,0,0,0,45,0,0,0
665504,2022,05,03,2022-05-03,13:14:00,3,OH,39,0,2.00,0,0,0,0,39.8100,-82.6000,39.8100,-82.6000,0,0,0,0,0,45,0,0,0
665505,2022,05,03,2022-05-03,13:15:00,3,OH,39,0,1.50,0,0,0,0,39.7800,-82.5900,39.7800,-82.5900,0,0,0,0,0,45,0,0,0
665506,2022,05,03,2022-05-03,13:16:00,3,OH,39,0,1.75,0,0,150000,0,39.8500,-82.6100,39.8500,-82.6100,0,0,0,0,0,45,0,0,0
665507,2022,05,03,2022-05-03,13:25:00,3,FL,12,0,0.75,0,0,0,0,30.4700,-84.3600,30.4700,-84.3600,0,0,0,0,0,73,0,0,0
665508,2022,05,03,2022-05-03,13:30:00,3,OH,39,0,1.00,0,0,0,0,39.9200,-82.4100,39.9200,-82.4100,0,0,0,0,0,127,0,0,0
665509,2022,05,03,2022-05-03,13:31:00,3,FL,12,0,0.75,0,0,0,0,30.4800,-84.3600,30.4800,-84.3600,0,0,0,0,0,73,0,0,0
665510,2022,05,03,2022-05-03,13:40:00,3,OH,39,0,1.75,0,0,0,0,39.8900,-82.3300,39.8900,-82.3300,0,0,0,0,0,127,0,0,0
665511,2022,05,03,2022-05-03,13:40:00,3,OH,39,0,1.75,0,0,0,0,39.8700,-82.2900,39.8700,-82.2900,0,0,0,0,0,127,0,0,0
665512,2022,05,03,2022-05-03,13:48:00,3,VA,51,0,1.00,0,0,0,0,37.1101,-79.9495,37.1101,-79.9495,0,0,0,0,0,67,0,0,0
665513,2022,05,03,2022-05-03,14:00:00,3,VA,51,0,1.00,0,0,0,0,36.9700,-81.0400,36.9700,-81.0400,0,0,0,0,0,197,0,0,0
665514,2022,05,03,2022-05-03,14:01:00,3,OH,39,0,1.00,0,0,0,0,39.9500,-82.0100,39.9500,-82.0100,0,0,0,0,0,119,0,0,0
665515,2022,05,03,2022-05-03,14:02:00,3,FL,12,0,1.00,0,0,0,0,30.4300,-84.4400,30.4300,-84.4400,0,0,0,0,0,73,0,0,0
665516,2022,05,03,2022-05-03,14:02:00,3,OH,39,0,1.75,0,0,0,0,39.9500,-81.9900,39.9500,-81.9900,0,0,0,0,0,119,0,0,0
665517,2022,05,03,2022-05-03,14:05:00,3,OH,39,0,2.00,0,0,0,0,39.9800,-81.9000,39.9800,-81.9000,0,0,0,0,0,119,0,0,0
665518,2022,05,03,2022-05-03,14:06:00,3,OH,39,0,1.00,0,0,0,0,39.9400,-81.9700,39.9400,-81.9700,0,0,0,0,0,119,0,0,0
665519,2022,05,03,2022-05-03,14:15:00,3,TN,47,0,0.88,0,0,0,0,36.4209,-86.2496,36.4209,-86.2496,0,0,0,0,0,169,0,0,0
665520,2022,05,03,2022-05-03,14:19:00,3,VA,51,0,1.00,0,0,0,0,36.7300,-78.9200,36.7300,-78.9200,0,0,0,0,0,83,0,0,0
665521,2022,05,03,2022-05-03,14:20:00,3,GA,13,0,1.25,0,0,0,0,32.6600,-81.8300,32.6600,-81.8300,0,0,0,0,0,251,0,0,0
665522,2022,05,03,2022-05-03,14:25:00,3,NC,37,0,1.25,0,0,0,0,35.3207,-78.6764,35.3207,-78.6764,0,0,0,0,0,85,0,0,0
665523,2022,05,03,2022-05-03,14:30:00,3,SC,45,0,1.00,0,0,0,0,34.4208,-81.2984,34.4208,-81.2984,0,0,0,0,0,39,0,0,0
665524,2022,05,03,2022-05-03,14:58:00,3,VA,51,0,1.00,0,0,0,0,36.7000,-78.6800,36.7000,-78.6800,0,0,0,0,0,83,0,0,0
665525,2022,05,03,2022-05-03,14:58:00,3,SC,45,0,1.00,0,0,0,0,34.7155,-80.6210,34.7155,-80.6210,0,0,0,0,0,57,0,0,0
665526,2022,05,03,2022-05-03,15:03:00,3,VA,51,0,0.88,0,0,0,0,37.2396,-80.4698,37.2396,-80.4698,0,0,0,0,0,121,0,0,0
665527,2022,05,03,2022-05-03,15:15:00,3,OH,39,0,1.00,0,0,0,0,40.8400,-84.0900,40.8400,-84.0900,0,0,0,0,0,3,0,0,0
665528,2022,05,03,2022-05-03,16:01:00,3,SC,45,0,1.00,0,0,0,0,33.7610,-81.6416,33.7610,-81.6416,0,0,0,0,0,3,0,0,0
665529,2022,05,03,2022-05-03,16:14:00,3,GA,13,0,0.88,0,0,0,0,31.5100,-82.9100,31.5100,-82.9100,0,0,0,0,0,69,0,0,0
665530,2022,05,03,2022-05-03,16:15:00,3,OH,39,0,1.00,0,0,0,0,39.9500,-82.0100,39.9500,-82.0100,0,0,0,0,0,119,0,0,0
665531,2022,05,03,2022-05-03,16:18:00,3,OH,39,0,1.50,0,0,0,0,41.0518,-83.0140,41.0518,-83.0140,0,0,0,0,0,147,0,0,0
665532,2022,05,03,2022-05-03,16:20:00,3,VA,51,0,0.88,0,0,0,0,37.3500,-78.9800,37.3500,-78.9800,0,0,0,0,0,31,0,0,0
665533,2022,05,03,2022-05-03,16:20:00,3,SC,45,0,1.00,0,0,0,0,32.8600,-81.0700,32.8600,-81.0700,0,0,0,0,0,49,0,0,0
665534,2022,05,03,2022-05-03,16:40:00,3,GA,13,0,1.00,0,0,0,0,31.3900,-82.9600,31.3900,-82.9600,0,0,0,0,0,3,0,0,0
665535,2022,05,03,2022-05-03,18:22:00,3,VA,51,0,0.88,0,0,0,0,37.1388,-80.6824,37.1388,-80.6824,0,0,0,0,0,155,0,0,0
665536,2022,05,03,2022-05-03,20:29:00,3,AL,01,0,0.88,0,0,0,0,33.3000,-86.1300,33.3000,-86.1300,0,0,0,0,0,121,0,0,0
665537,2022,05,03,2022-05-03,20:40:00,3,AL,01,0,1.00,0,0,0,0,33.3200,-86.0800,33.3200,-86.0800,0,0,0,0,0,121,0,0,0
665538,2022,05,03,2022-05-03,20:48:00,3,AL,01,0,1.00,0,0,0,0,33.3200,-86.0000,33.3200,-86.0000,0,0,0,0,0,121,0,0,0
665539,2022,05,03,2022-05-03,21:22:00,3,AL,01,0,1.00,0,0,0,0,33.3200,-85.7500,33.3200,-85.7500,0,0,0,0,0,27,0,0,0
665540,2022,05,03,2022-05-03,21:29:00,3,AL,01,0,1.00,0,0,0,0,33.3500,-85.7200,33.3500,-85.7200,0,0,0,0,0,27,0,0,0
665541,2022,05,03,2022-05-03,21:46:00,3,AL,01,0,1.00,0,0,0,0,33.3300,-85.5600,33.3300,-85.5600,0,0,0,0,0,111,0,0,0
665542,2022,05,04,2022-05-04,07:14:00,3,OK,40,0,0.75,0,0,0,0,35.9737,-95.9394,35.9737,-95.9394,0,0,0,0,0,143,0,0,0
665543,2022,05,04,2022-05-04,09:12:00,3,KS,20,0,1.00,0,0,0,0,37.6200,-97.9300,37.6200,-97.9300,0,0,0,0,0,95,0,0,0
665544,2022,05,04,2022-05-04,10:05:00,3,NC,37,0,0.75,0,0,0,0,35.5700,-82.4600,35.5700,-82.4600,0,0,0,0,0,21,0,0,0
665545,2022,05,04,2022-05-04,12:00:00,3,OK,40,0,2.00,0,0,0,0,35.2200,-99.0400,35.2200,-99.0400,0,0,0,0,0,149,0,0,0
665546,2022,05,04,2022-05-04,12:07:00,3,OK,40,0,1.25,0,0,0,0,35.3000,-98.9900,35.3000,-98.9900,0,0,0,0,0,149,0,0,0
665547,2022,05,04,2022-05-04,12:50:00,3,TX,48,0,1.00,0,0,0,0,35.0200,-102.1000,35.0200,-102.1000,0,0,0,0,0,381,0,0,0
665548,2022,05,04,2022-05-04,12:54:00,3,SC,45,0,0.75,0,0,0,0,32.9100,-79.8900,32.9100,-79.8900,0,0,0,0,0,15,0,0,0
665549,2022,05,04,2022-05-04,12:55:00,3,VA,51,0,1.00,0,0,0,0,37.3400,-77.0600,37.3400,-77.0600,0,0,0,0,0,1,0,0,0
665550,2022,05,04,2022-05-04,13:12:00,3,TX,48,0,1.00,0,0,0,0,35.0800,-101.9100,35.0800,-101.9100,0,0,0,0,0,381,0,0,0
665551,2022,05,04,2022-05-04,13:20:00,3,TX,48,0,1.00,0,0,0,0,35.1200,-101.8800,35.1200,-101.8800,0,0,0,0,0,381,0,0,0
665552,2022,05,04,2022-05-04,13:25:00,3,TX,48,0,1.50,0,0,0,0,35.0900,-101.8300,35.0900,-101.8300,0,0,0,0,0,381,0,0,0
665553,2022,05,04,2022-05-04,13:43:00,3,TX,48,0,1.50,0,0,0,0,35.1800,-101.6200,35.1800,-101.6200,0,0,0,0,0,65,0,0,0
665554,2022,05,04,2022-05-04,14:00:00,3,OK,40,0,1.00,0,0,0,0,36.1100,-97.9000,36.1100,-97.9000,0,0,0,0,0,73,0,0,0
665555,2022,05,04,2022-05-04,14:05:00,3,VA,51,0,1.00,0,0,0,0,37.0300,-76.6100,37.0300,-76.6100,0,0,0,0,0,93,0,0,0
665556,2022,05,04,2022-05-04,14:06:00,3,NC,37,0,1.00,0,0,0,0,35.6200,-80.8200,35.6200,-80.8200,0,0,0,0,0,97,0,0,0
665557,2022,05,04,2022-05-04,14:07:00,3,NC,37,0,0.75,0,0,0,0,35.6300,-80.7900,35.6300,-80.7900,0,0,0,0,0,97,0,0,0
665558,2022,05,04,2022-05-04,14:14:00,3,TX,48,0,1.00,0,0,0,0,34.7103,-101.4405,34.7103,-101.4405,0,0,0,0,0,45,0,0,0
665559,2022,05,04,2022-05-04,14:55:00,3,NC,37,0,0.75,0,0,0,0,35.3000,-81.0800,35.3000,-81.0800,0,0,0,0,0,71,0,0,0
665560,2022,05,04,2022-05-04,14:56:00,3,TX,48,0,1.00,0,0,0,0,35.2900,-101.5400,35.2900,-101.5400,0,0,0,0,0,65,0,0,0
665561,2022,05,04,2022-05-04,14:56:00,3,TX,48,0,0.88,0,0,0,0,35.2300,-101.6000,35.2300,-101.6000,0,0,0,0,0,65,0,0,0
665562,2022,05,04,2022-05-04,15:00:00,3,SC,45,0,0.75,0,0,0,0,32.9000,-80.0100,32.9000,-80.0100,0,0,0,0,0,15,0,0,0
665563,2022,05,04,2022-05-04,15:05:00,3,SC,45,0,1.25,0,0,0,0,35.0700,-81.5300,35.0700,-81.5300,0,0,0,0,0,21,0,0,0
665564,2022,05,04,2022-05-04,15:10:00,3,SC,45,0,0.88,0,0,0,0,32.8800,-79.9900,32.8800,-79.9900,0,0,0,0,0,19,0,0,0
665565,2022,05,04,2022-05-04,15:25:00,3,NC,37,0,1.00,0,0,0,0,36.4500,-76.3300,36.4500,-76.3300,0,0,0,0,0,29,0,0,0
665566,2022,05,04,2022-05-04,15:35:00,3,NC,37,0,1.00,0,0,0,0,36.2200,-75.8700,36.2200,-75.8700,0,0,0,0,0,53,0,0,0
665567,2022,05,04,2022-05-04,15:55:00,3,NC,37,0,1.00,0,0,0,0,36.3600,-75.9600,36.3600,-75.9600,0,0,0,0,0,53,0,0,0
665568,2022,05,04,2022-05-04,16:00:00,3,NC,37,0,1.00,0,0,0,0,35.1300,-80.8400,35.1300,-80.8400,0,0,0,0,0,119,0,0,0
665569,2022,05,04,2022-05-04,16:00:00,3,SC,45,0,0.75,0,0,0,0,35.0594,-80.8914,35.0594,-80.8914,0,0,0,0,0,57,0,0,0
665570,2022,05,04,2022-05-04,16:04:00,3,TX,48,0,1.00,0,0,0,0,33.8675,-101.0696,33.8675,-101.0696,0,0,0,0,0,153,0,0,0
665571,2022,05,04,2022-05-04,16:15:00,3,TX,48,0,2.50,0,0,0,0,33.7592,-100.8165,33.7734,-100.7949,0,0,0,0,0,125,0,0,0
665572,2022,05,04,2022-05-04,16:17:00,3,NC,37,0,1.00,0,0,0,0,36.0600,-76.6000,36.0600,-76.6000,0,0,0,0,0,41,0,0,0
665573,2022,05,04,2022-05-04,16:20:00,3,NC,37,0,1.00,0,0,0,0,36.0700,-76.6000,36.0700,-76.6000,0,0,0,0,0,41,0,0,0
665574,2022,05,04,2022-05-04,16:30:00,3,TX,48,0,1.00,0,0,0,0,34.0735,-100.8770,34.0735,-100.8770,0,0,0,0,0,345,0,0,0
665575,2022,05,04,2022-05-04,16:40:00,3,NC,37,0,1.00,0,0,0,0,35.7300,-76.1500,35.7300,-76.1500,0,0,0,0,0,177,0,0,0
665576,2022,05,04,2022-05-04,17:00:00,3,TX,48,0,2.50,0,0,0,0,33.8524,-100.4799,33.8929,-100.3276,0,0,0,0,0,101,0,0,0
665577,2022,05,04,2022-05-04,17:04:00,3,OK,40,0,1.00,0,0,0,0,36.1566,-96.2463,36.1566,-96.2463,0,0,0,0,0,143,0,0,0
665578,2022,05,04,2022-05-04,17:06:00,3,TX,48,0,1.00,0,0,0,0,32.8300,-100.4300,32.8300,-100.4300,0,0,0,0,0,151,0,0,0
665579,2022,05,04,2022-05-04,17:07:00,3,OK,40,0,1.25,0,0,30000,0,36.1400,-96.1000,36.1400,-96.1000,0,0,0,0,0,143,0,0,0
665580,2022,05,04,2022-05-04,17:08:00,3,OK,40,0,1.00,0,0,0,0,36.1795,-96.1505,36.1795,-96.1505,0,0,0,0,0,113,0,0,0
665581,2022,05,04,2022-05-04,17:46:00,3,TX,48,0,1.75,0,0,0,0,32.6782,-100.8125,32.6782,-100.8125,0,0,0,0,0,415,0,0,0
665582,2022,05,04,2022-05-04,17:55:00,3,MS,28,0,0.88,0,0,0,0,34.2900,-90.1100,34.2900,-90.1100,0,0,0,0,0,107,0,0,0
665583,2022,05,04,2022-05-04,18:15:00,3,OK,40,0,1.00,0,0,0,0,35.9300,-96.4000,35.9300,-96.4000,0,0,0,0,0,37,0,0,0
665584,2022,05,04,2022-05-04,18:16:00,3,TX,48,0,1.50,0,0,0,0,29.3600,-100.9000,29.3600,-100.9000,0,0,0,0,0,465,0,0,0
665585,2022,05,04,2022-05-04,18:25:00,3,TX,48,0,0.88,0,0,0,0,29.3700,-100.9100,29.3700,-100.9100,0,0,0,0,0,465,0,0,0
665586,2022,05,04,2022-05-04,18:25:00,3,TX,48,0,1.00,0,0,0,0,29.3700,-100.8700,29.3700,-100.8700,0,0,0,0,0,465,0,0,0
665587,2022,05,04,2022-05-04,18:49:00,3,MS,28,0,1.25,0,0,0,0,34.1900,-89.8000,34.1900,-89.8000,0,0,0,0,0,107,0,0,0
665588,2022,05,04,2022-05-04,18:52:00,3,MS,28,0,1.00,0,0,0,0,34.2300,-89.7000,34.2300,-89.7000,0,0,0,0,0,71,0,0,0
665589,2022,05,04,2022-05-04,18:54:00,3,OK,40,0,1.75,0,0,0,0,34.9000,-99.9200,34.9000,-99.9200,0,0,0,0,0,57,0,0,0
665590,2022,05,04,2022-05-04,18:56:00,3,TX,48,0,1.00,0,0,0,0,34.8700,-100.0800,34.8700,-100.0800,0,0,0,0,0,87,0,0,0
665591,2022,05,04,2022-05-04,19:21:00,3,TX,48,0,0.88,0,0,0,0,33.1900,-99.8900,33.1900,-99.8900,0,0,0,0,0,207,0,0,0
665592,2022,05,04,2022-05-04,19:32:00,3,OK,40,0,0.75,0,0,0,0,35.6000,-96.1800,35.6000,-96.1800,0,0,0,0,0,111,0,0,0
665593,2022,05,04,2022-05-04,19:40:00,3,TX,48,0,2.75,0,0,0,0,29.1700,-100.4000,29.1700,-100.4000,0,0,0,0,0,271,0,0,0
665594,2022,05,04,2022-05-04,19:40:00,3,TX,48,0,0.88,0,0,0,0,29.3400,-100.4200,29.3400,-100.4200,0,0,0,0,0,271,0,0,0
665595,2022,05,04,2022-05-04,20:26:00,3,OK,40,0,0.88,0,0,0,0,35.4300,-96.3000,35.4300,-96.3000,0,0,0,0,0,107,0,0,0
665596,2022,05,04,2022-05-04,20:32:00,3,TX,48,0,1.75,0,0,0,0,29.3200,-99.9300,29.3200,-99.9300,0,0,0,0,0,463,0,0,0
665597,2022,05,04,2022-05-04,20:45:00,3,TX,48,0,1.00,0,0,0,0,29.2400,-99.7900,29.2400,-99.7900,0,0,0,0,0,463,0,0,0
665598,2022,05,04,2022-05-04,20:48:00,3,OK,40,0,0.75,0,0,0,0,35.3200,-96.3000,35.3200,-96.3000,0,0,0,0,0,107,0,0,0
665599,2022,05,04,2022-05-04,21:07:00,3,TX,48,0,1.50,0,0,0,0,30.7300,-101.2000,30.7300,-101.2000,0,0,0,0,0,105,0,0,0
665600,2022,05,04,2022-05-04,21:09:00,3,OK,40,0,1.00,0,0,0,0,35.5100,-96.0300,35.5100,-96.0300,0,0,0,0,0,111,0,0,0
665601,2022,05,04,2022-05-04,21:15:00,3,TX,48,0,1.50,0,0,0,0,29.3300,-99.4700,29.3300,-99.4700,0,0,0,0,0,463,0,0,0
665602,2022,05,04,2022-05-04,22:19:00,3,TX,48,0,1.00,0,0,0,0,36.0700,-100.5100,36.0700,-100.5100,0,0,0,0,0,295,0,0,0
665603,2022,05,04,2022-05-04,22:22:00,3,TX,48,0,1.00,0,0,0,0,29.6400,-98.9600,29.6400,-98.9600,0,0,0,0,0,19,0,0,0
665604,2022,05,04,2022-05-04,22:56:00,3,TX,48,0,0.75,0,0,0,0,29.3700,-98.8800,29.3700,-98.8800,0,0,0,0,0,325,0,0,0
665605,2022,05,04,2022-05-04,23:25:00,3,TX,48,0,0.75,0,0,0,0,29.4200,-98.5000,29.4200,-98.5000,0,0,0,0,0,29,0,0,0
665606,2022,05,05,2022-05-05,02:36:00,3,AR,05,0,1.00,0,0,0,0,36.3900,-92.3500,36.3900,-92.3500,0,0,0,0,0,5,0,0,0
665607,2022,05,05,2022-05-05,08:58:00,3,TX,48,0,1.00,0,0,0,0,31.0400,-98.0200,31.0400,-98.0200,0,0,0,0,0,281,0,0,0
665608,2022,05,05,2022-05-05,09:00:00,3,OK,40,0,1.00,0,0,0,0,35.4352,-97.4414,35.4352,-97.4414,0,0,0,0,0,109,0,0,0
665609,2022,05,05,2022-05-05,09:03:00,3,OK,40,0,1.50,0,0,0,0,35.5300,-97.9600,35.5300,-97.9600,0,0,0,0,0,17,0,0,0
665610,2022,05,05,2022-05-05,09:15:00,3,OK,40,0,1.75,0,0,0,0,35.5100,-97.9300,35.5100,-97.9300,0,0,0,0,0,17,0,0,0
665611,2022,05,05,2022-05-05,09:18:00,3,OK,40,0,1.00,0,0,0,0,35.5700,-97.4200,35.5700,-97.4200,0,0,0,0,0,109,0,0,0
665612,2022,05,05,2022-05-05,09:22:00,3,OK,40,0,0.88,0,0,0,0,35.6000,-97.7500,35.6000,-97.7500,0,0,0,0,0,17,0,0,0
665613,2022,05,05,2022-05-05,09:30:00,3,OK,40,0,1.00,0,0,0,0,35.6800,-97.6200,35.6800,-97.6200,0,0,0,0,0,109,0,0,0
665614,2022,05,05,2022-05-05,09:44:00,3,OK,40,0,1.25,0,0,0,0,35.5100,-97.7400,35.5100,-97.7400,0,0,0,0,0,17,0,0,0
665615,2022,05,05,2022-05-05,09:57:00,3,OK,40,0,1.00,0,0,0,0,35.6100,-97.5700,35.6100,-97.5700,0,0,0,0,0,109,0,0,0
665616,2022,05,05,2022-05-05,10:00:00,3,OK,40,0,1.00,0,0,0,0,35.6200,-97.6600,35.6200,-97.6600,0,0,0,0,0,109,0,0,0
665617,2022,05,05,2022-05-05,10:02:00,3,OK,40,0,1.00,0,0,0,0,35.5900,-97.5800,35.5900,-97.5800,0,0,0,0,0,109,0,0,0
665618,2022,05,05,2022-05-05,10:02:00,3,OK,40,0,1.00,0,0,0,0,36.1200,-97.0600,36.1200,-97.0600,0,0,0,0,0,119,0,0,0
665619,2022,05,05,2022-05-05,10:04:00,3,OK,40,0,1.75,0,0,0,0,36.1200,-97.0600,36.1200,-97.0600,0,0,0,0,0,119,0,0,0
665620,2022,05,05,2022-05-05,10:04:00,3,OK,40,0,1.00,0,0,0,0,35.6200,-97.6000,35.6200,-97.6000,0,0,0,0,0,109,0,0,0
665621,2022,05,05,2022-05-05,10:04:00,3,OK,40,0,1.00,0,0,0,0,35.5700,-97.6600,35.5700,-97.6600,0,0,0,0,0,109,0,0,0
665622,2022,05,05,2022-05-05,10:05:00,3,OK,40,0,1.00,0,0,0,0,35.6100,-97.6300,35.6100,-97.6300,0,0,0,0,0,109,0,0,0
665623,2022,05,05,2022-05-05,10:06:00,3,OK,40,0,1.50,0,0,0,0,36.8000,-97.2900,36.8000,-97.2900,0,0,0,0,0,71,0,0,0
665624,2022,05,05,2022-05-05,10:10:00,3,OK,40,0,1.75,0,0,0,0,36.8100,-97.2800,36.8100,-97.2800,0,0,0,0,0,71,0,0,0
665625,2022,05,05,2022-05-05,10:11:00,3,OK,40,0,1.00,0,0,0,0,35.7000,-97.5500,35.7000,-97.5500,0,0,0,0,0,109,0,0,0
665626,2022,05,05,2022-05-05,10:12:00,3,OK,40,0,1.75,0,0,0,0,35.6500,-97.5800,35.6500,-97.5800,0,0,0,0,0,109,0,0,0
665627,2022,05,05,2022-05-05,10:25:00,3,OK,40,0,1.00,0,0,0,0,35.8800,-97.4200,35.8800,-97.4200,0,0,0,0,0,83,0,0,0
665628,2022,05,05,2022-05-05,10:25:00,3,OK,40,0,1.75,0,0,0,0,35.8900,-97.4200,35.8900,-97.4200,0,0,0,0,0,83,0,0,0
665629,2022,05,05,2022-05-05,11:24:00,3,OK,40,0,0.88,0,0,0,0,35.6200,-95.9700,35.6200,-95.9700,0,0,0,0,0,111,0,0,0
665630,2022,05,05,2022-05-05,11:25:00,3,TX,48,0,1.00,0,0,0,0,33.2700,-95.7300,33.2700,-95.7300,0,0,0,0,0,223,0,0,0
665631,2022,05,05,2022-05-05,11:57:00,3,TX,48,0,1.00,0,0,0,0,32.9000,-94.5600,32.9000,-94.5600,0,0,0,0,0,67,0,0,0
665632,2022,05,05,2022-05-05,12:00:00,3,OK,40,0,1.75,0,0,0,0,33.7900,-96.2100,33.7900,-96.2100,0,0,0,0,0,13,0,0,0
665633,2022,05,05,2022-05-05,12:15:00,3,TX,48,0,1.75,0,0,3000,0,33.7800,-96.0200,33.7800,-96.0200,0,0,0,0,0,147,0,0,0
665634,2022,05,05,2022-05-05,12:25:00,3,OK,40,0,1.25,0,0,0,0,33.8800,-96.0100,33.8800,-96.0100,0,0,0,0,0,13,0,0,0
665635,2022,05,05,2022-05-05,12:35:00,3,OK,40,0,1.00,0,0,0,0,34.8451,-95.5582,34.8451,-95.5582,0,0,0,0,0,121,0,0,0
665636,2022,05,05,2022-05-05,12:38:00,3,TX,48,0,1.00,0,0,0,0,31.7100,-96.5300,31.7100,-96.5300,0,0,0,0,0,293,0,0,0
665637,2022,05,05,2022-05-05,12:47:00,3,AR,05,0,1.00,0,0,0,0,34.3800,-91.1300,34.3800,-91.1300,0,0,0,0,0,1,0,0,0
665638,2022,05,05,2022-05-05,12:52:00,3,OK,40,0,0.88,0,0,0,0,34.0100,-95.0900,34.0100,-95.0900,0,0,0,0,0,89,0,0,0
665639,2022,05,05,2022-05-05,13:08:00,3,TX,48,0,0.88,0,0,0,0,32.4000,-96.8300,32.4000,-96.8300,0,0,0,0,0,139,0,0,0
665640,2022,05,05,2022-05-05,13:11:00,3,AR,05,0,1.00,0,0,0,0,34.0800,-91.7000,34.0800,-91.7000,0,0,0,0,0,79,0,0,0
665641,2022,05,05,2022-05-05,13:21:00,3,OK,40,0,0.88,0,0,0,0,36.1300,-95.8900,36.1300,-95.8900,0,0,0,0,0,143,0,0,0
665642,2022,05,05,2022-05-05,13:21:00,3,OK,40,0,0.75,0,0,0,0,36.1334,-95.8645,36.1334,-95.8645,0,0,0,0,0,143,0,0,0
665643,2022,05,05,2022-05-05,13:23:00,3,OK,40,0,0.75,0,0,0,0,36.1300,-95.7800,36.1300,-95.7800,0,0,0,0,0,143,0,0,0
665644,2022,05,05,2022-05-05,13:25:00,3,AR,05,0,1.00,0,0,0,0,34.5600,-90.7700,34.5600,-90.7700,0,0,0,0,0,107,0,0,0
665645,2022,05,05,2022-05-05,13:33:00,3,AR,05,0,1.00,0,0,0,0,34.7500,-90.6700,34.7500,-90.6700,0,0,0,0,0,107,0,0,0
665646,2022,05,05,2022-05-05,13:35:00,3,OK,40,0,1.00,0,0,0,0,36.1000,-95.8200,36.1000,-95.8200,0,0,0,0,0,143,0,0,0
665647,2022,05,05,2022-05-05,13:43:00,3,OK,40,0,1.00,0,0,0,0,35.6600,-95.2000,35.6600,-95.2000,0,0,0,0,0,101,0,0,0
665648,2022,05,05,2022-05-05,14:00:00,3,TN,47,0,0.88,0,0,0,0,35.6400,-88.2200,35.6400,-88.2200,0,0,0,0,0,77,0,0,0
665649,2022,05,05,2022-05-05,15:08:00,3,TN,47,0,1.00,0,0,0,0,36.4088,-86.0226,36.4088,-86.0226,0,0,0,0,0,169,0,0,0
665650,2022,05,05,2022-05-05,15:10:00,3,TX,48,0,1.00,0,0,0,0,30.4600,-98.7800,30.4600,-98.7800,0,0,0,0,0,171,0,0,0
665651,2022,05,05,2022-05-05,15:11:00,3,MS,28,0,1.00,0,0,0,0,34.7100,-89.6100,34.7100,-89.6100,0,0,0,0,0,93,0,0,0
665652,2022,05,05,2022-05-05,15:15:00,3,TX,48,0,1.00,0,0,0,0,32.0000,-94.1700,32.0000,-94.1700,0,0,0,0,0,365,0,0,0
665653,2022,05,05,2022-05-05,15:20:00,3,TN,47,0,0.88,0,0,0,0,35.7500,-86.6500,35.7500,-86.6500,0,0,0,0,0,149,0,0,0
665654,2022,05,05,2022-05-05,15:29:00,3,MS,28,0,0.88,0,0,0,0,34.7700,-89.4400,34.7700,-89.4400,0,0,0,0,0,93,0,0,0
665655,2022,05,05,2022-05-05,15:30:00,3,MS,28,0,1.25,0,0,0,0,34.7700,-89.4300,34.7700,-89.4300,0,0,0,0,0,93,0,0,0
665656,2022,05,05,2022-05-05,15:32:00,3,TN,47,0,1.00,0,0,0,0,35.7500,-86.5500,35.7500,-86.5500,0,0,0,0,0,149,0,0,0
665657,2022,05,05,2022-05-05,15:53:00,3,TX,48,0,0.88,0,0,0,0,30.6700,-97.9200,30.6700,-97.9200,0,0,0,0,0,491,0,0,0
